classification_ethnologue,classification_glottolog,classification_wals,code_glottolog,code_iso,code_wals,description,ethnologue_family,glottolog_family,id,jsondata,latitude,long_extinct,longitude,markup_description,name,number_of_speakers,pk,recently_extinct,txt,wals_family,wals_genus,wordlist_pk,year_of_extinction
"Indo-European,Italic,Romance,Italo-Western,Western,Pyrenean-Mozarabic,Pyrenean","Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,UnshiftedWesternRomance",IE.ROMANCE,arag1245,arg,,,Indo-European,Indo-European,ARAGONESE,{},42.17,False,-0.17,,Aragonese,30000,4068,False,"ARAGONESE{IE.ROMANCE|Indo-European,Italic,Romance,Italo-Western,Western,Pyrenean-Mozarabic,Pyrenean@Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,UnshiftedWesternRomance}
 1   42.17   -0.17       30000         arg
1 I	yo //
2 you	tu //
3 we	nusatros, nusaltros //
11 one	un, uno //
12 two	dos //
18 person	ombre //
19 fish	peS, peSe //
21 dog	kan, koCo //
22 louse	pegoLo, peduLo //
23 tree	arbol //
25 leaf	fueLa //
28 skin	piel, peleLo //
30 blood	saNgre //
31 bone	gw~eso //
34 horn	kw~erno //
39 ear	oreLa //
40 eye	gw~eLo //
41 nose	nari8, naso //
43 tooth	dien //
44 tongue	lueNga, LueNga //
47 knee	CinoLo, CenuLo //
48 hand	man //
51 breast	peito //
53 liver	figado //
54 drink	beber //
57 see	beyer //
58 hear	sentir //
61 die	morir //
66 come	benir //
72 sun	sol //
74 star	estrela //
75 water	augw~a //
77 stone	pe5a, kantal //
82 fire	fuego //
85 path	kamin //
86 mountain	mon //
92 night	nueit //
95 full	pleno, plen //
96 new	nuebo //
100 name	nombre, nome //",IE,ROMANCE,4068,
"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Rhaetian,Oil,Southeastern","Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,NorthwesternShiftedRomance,Gallo-Rhaetian,Oil,Francoprovencalic",IE.ROMANCE,fran1260,frp,,,Indo-European,Indo-European,ARPITAN,{},45.77,False,4.83,,Arpitan,227000,4069,False,"ARPITAN{IE.ROMANCE|Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Rhaetian,Oil,Southeastern@Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,NorthwesternShiftedRomance,Gallo-Rhaetian,Oil,Francoprovencalic}
 1   45.77    4.83      227000         frp
1 I	Z3, c3 //
2 you	t3 //
3 we	no, nu //
11 one	yo* //
12 two	dow //
18 person	omu //
19 fish	p3so* //
21 dog	Si*, ci* //
23 tree	abro //
25 leaf	foL3, foLi //
30 blood	so*, so*k //
39 ear	or3L3, or3Li //
40 eye	yi //
41 nose	na, no //
43 tooth	dE* //
44 tongue	lE*wa, lE*gw~a //
47 knee	Z3nu, c3nu //
48 hand	ma* //
54 drink	bEa //
57 see	vEa //
58 hear	ekota, exota //
61 die	mori, mo8i //
66 come	v35i, v3ni //
72 sun	solEL, sElol //
74 star	etela, e8ela //
75 water	Ewa, Egw~a //
77 stone	py~Eri, py~E8i //
85 path	Sami*, cami* //
86 mountain	mo*ta5i, monta53 //
92 night	nE, nw~E //
95 full	plE*, py~E* //
96 new	novy~o, nu //
100 name	no* //",IE,ROMANCE,4069,
"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,WestIberian,Asturo-Leonese","Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,SouthwesternShiftedRomance,WestIbero-Romance,Asturo-Leonese",IE.ROMANCE,astu1245,ast,ast,,Indo-European,Indo-European,ASTURIAN,{},43.25,False,-6.0,,Asturian,110000,4070,False,"ASTURIAN{IE.ROMANCE|Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,WestIberian,Asturo-Leonese@Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,SouthwesternShiftedRomance,WestIbero-Romance,Asturo-Leonese}
 1   43.25   -6.00      110000   ast   ast
1 I	yo //
2 you	tu //
3 we	nos //
11 one	un, una, uno //
12 two	dos //
18 person	persona //
19 fish	peSe //
21 dog	perru, perra //
22 louse	pioyu //
23 tree	arbol //
25 leaf	fueya //
28 skin	piel //
30 blood	saNgre //
31 bone	uesu //
34 horn	kuernu //
39 ear	oreya //
40 eye	ueyu //
41 nose	nari8es //
43 tooth	diente //
44 tongue	paladar //
47 knee	rodia //
48 hand	mano //
51 breast	peCu //
54 drink	beber //
57 see	ver //
58 hear	oyer //
61 die	morrer //
66 come	venir //
72 sun	sol //
74 star	estrella //
75 water	agua //
77 stone	piedra //
82 fire	fueu //
85 path	kamin //
86 mountain	monte //
92 night	nueCe //
95 full	Leno, Lenu, Lena //
96 new	nuevu, nueva, nuevo //
100 name	nome //",IE,ROMANCE,4070,
"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,EastIberian","Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,SouthwesternShiftedRomance",IE.ROMANCE,stan1289,cat,ctl,,Indo-European,Indo-European,BALEAR_CATALAN,{},39.57,False,2.65,,Balear Catalan,4053310,4071,False,"BALEAR_CATALAN{IE.ROMANCE|Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,EastIberian@Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,SouthwesternShiftedRomance}
 1   39.57    2.65     4053310   ctl   cat
1 I	jo //
2 you	tu //
3 we	noltros //
11 one	uns //
12 two	dos //
18 person	p3rson3 //
19 fish	peiS //
21 dog	ka //
23 tree	abr3 //
25 leaf	fuL3, fuy3 //
28 skin	peL //
30 blood	saN //
31 bone	os //
34 horn	ba53 //
39 ear	orEL3, orEy3 //
40 eye	uL, uy //
41 nose	nas //
43 tooth	dent //
44 tongue	LeNgw$3 //
47 knee	Z3noL, ZonoL //
48 hand	ma //
54 drink	bEur3 //
57 see	vEur3 //
58 hear	s3nti //
61 die	muri //
72 sun	sol //
74 star	3stEl //
75 water	aigo //
77 stone	pedr3 //
82 fire	foT //
85 path	k3mi //
86 mountain	munta53 //
92 night	nit //
95 full	plE //
96 new	now, nou //
100 name	nom //",IE,ROMANCE,4071,
"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,EastIberian","Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,SouthwesternShiftedRomance",IE.ROMANCE,stan1289,cat,ctl,,Indo-European,Indo-European,CATALAN,{},41.75,False,2.0,,Catalan,4053310,4072,False,"CATALAN{IE.ROMANCE|Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,EastIberian@Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,SouthwesternShiftedRomance}
 1   41.75    2.00     4053310   ctl   cat
1 I	Zo //
2 you	tu //
3 we	nuzaltr3s //
11 one	un //
12 two	dos //
18 person	p3rson3 //
19 fish	peS //
21 dog	gos, k3 //
22 louse	poL //
23 tree	abr3 //
25 leaf	fuL3 //
28 skin	peL //
30 blood	saN //
31 bone	os //
34 horn	korn, ba53 //
39 ear	urEL3 //
40 eye	uL //
41 nose	nas //
43 tooth	den //
44 tongue	LeNgw~3 //
47 knee	j3noL //
48 hand	ma //
51 breast	pit //
53 liver	fej3 //
54 drink	bEur3 //
57 see	bEur3 //
58 hear	s3nti //
61 die	muri //
66 come	b3ni //
72 sun	sol //
74 star	3streL3 //
75 water	aixw~3 //
77 stone	pe8r3 //
82 fire	fok //
85 path	k3mi //
86 mountain	mon //
92 night	nit //
95 full	plE //
96 new	nou //
100 name	nom //",IE,ROMANCE,4072,
"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,EastIberian","Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,SouthwesternShiftedRomance",IE.ROMANCE,stan1289,cat,ctl,,Indo-European,Indo-European,CATALAN_2,{},41.38,False,2.18,,Catalan 2,4053310,4073,False,"CATALAN_2{IE.ROMANCE|Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,EastIberian@Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,SouthwesternShiftedRomance}
 1   41.38    2.18     4053310   ctl   cat
1 I	Zo //
2 you	tu //
3 we	nuzaltr3s //
11 one	uns //
12 two	dos //
18 person	p3rson3 //
19 fish	peS //
21 dog	gos //
22 louse	poL //
23 tree	abr3 //
25 leaf	fuL3 //
28 skin	peL //
30 blood	saN //
31 bone	os //
34 horn	ba53 //
39 ear	urEL3 //
40 eye	uL //
41 nose	nas //
43 tooth	den //
44 tongue	LeNgw$3 //
47 knee	Z3noL //
48 hand	ma //
53 liver	fej3 //
54 drink	bEur3 //
57 see	bEur3 //
58 hear	s3nti //
61 die	muri //
66 come	b3ni //
72 sun	sol //
74 star	3stEl //
75 water	aixw~3 //
77 stone	pe8r3 //
82 fire	fok //
85 path	k3mi //
86 mountain	munta53 //
92 night	nit //
95 full	plE //
96 new	now, nou //
100 name	nom //",IE,ROMANCE,4073,
"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,EastIberian","Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,SouthwesternShiftedRomance",IE.ROMANCE,stan1289,cat,ctl,,Indo-European,Indo-European,CATALAN_3,{},41.75,False,2.0,,Catalan 3,4053310,4074,False,"CATALAN_3{IE.ROMANCE|Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Ibero-Romance,EastIberian@Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,SouthwesternShiftedRomance}
 1   41.75    2.00     4053310   ctl   cat
1 I	Zo //
2 you	tu //
3 we	nuzaLtr3s //
4 this	3kEs //
5 that	3So //
6 who	ki //
7 what	kE //
8 not	no //
9 all	tot //
11 one	u //
12 two	dos //
13 big	gros //
14 long	Lark //
15 small	p3tit //
16 woman	don3 //
17 man	om3 //
18 person	uma, p3rzon3 //
19 fish	pES //
20 bird	aw, usEL //
21 dog	ka, gos //
22 louse	poL //
23 tree	arbr3 //
24 seed	sEmbr3 //
25 leaf	fuL3 //
26 root	rEL, 3rEL //
27 bark	3skors3 //
28 skin	pEL //
29 flesh	karn //
30 blood	saN //
31 bone	os //
32 grease	grES //
33 egg	ow //
34 horn	korn, ba53 //
35 tail	kwa //
36 feather	pLom3 //
37 hair	k3bEL //
38 head	kap //
39 ear	urEL3 //
40 eye	uL //
41 nose	nas //
42 mouth	bok3 //
43 tooth	dEn //
44 tongue	LEnxw3 //
45 claw	uNgL3 //
46 foot	pEw //
47 knee	Z3noL //
48 hand	ma //
49 belly	pa5S3 //
50 neck	koL //
51 breast	pit, mam3 //
52 heart	ko //
53 liver	fEj3 //
54 drink	bEwr3 //
55 eat	m35Za //
56 bite	mus3xa //
57 see	bEwr3 //
58 hear	oy //
59 know	s3bE //
60 sleep	durmi //
61 die	muri //
62 kill	m3ta //
63 swim	n38a //
64 fly	buLa //
65 walk	k3mina //
66 come	b3ni //
67 lie	ZEwr3 //
68 sit	sEwr3 //
69 stand	3st3r d3 pEw //
70 give	duna //
71 say	di //
72 sun	soL //
73 moon	Lun3 //
74 star	3stEL, 3strEL3 //
75 water	ayxw3 //
76 rain	pLuZ3 //
77 stone	pE8r3 //
78 sand	3rEn3 //
79 earth	tEr3 //
80 cloud	nubuL //
81 smoke	fum //
82 fire	fok //
83 ash	sEn8r3 //
84 burn	kr3ma //
85 path	sEn83, s3n8E //
86 mountain	munta53 //
87 red	b3rmEL //
88 green	bEr //
89 yellow	grok //
90 white	bLaN //
91 black	nExr3 //
92 night	nit //
93 hot	kaLit //
94 cold	frEt //
95 full	pLE //
96 new	now //
97 good	bo //
98 round	ru8o //
99 dry	sEk //
100 name	nom //",IE,ROMANCE,4074,
"Indo-European,Italic,Romance,Southern,Corsican","Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,SouthernRomance,Sardo-Corsican,Corsic",IE.ROMANCE,cors1241,cos,,,Indo-European,Indo-European,CORSICAN,{},42.0,False,9.0,,Corsican,151000,4075,False,"CORSICAN{IE.ROMANCE|Indo-European,Italic,Romance,Southern,Corsican@Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,SouthernRomance,Sardo-Corsican,Corsic}
 1   42.00    9.00      151000         cos
1 I	eyu //
2 you	tu //
3 we	noi, no //
11 one	u*nu //
12 two	dwi //
18 person	ni*mu //
19 fish	pESu //
21 dog	Takaru //
22 louse	pidoTu //
23 tree	arburu //
25 leaf	foLa //
28 skin	pedi //
30 blood	sa*Ngwi //
31 bone	osu //
34 horn	kori //
39 ear	arETa //
40 eye	oTi //
41 nose	nasu //
43 tooth	dE*nti //
44 tongue	li*Ngua //
47 knee	vi*noTi //
48 hand	ma*ni //
51 breast	petu //
53 liver	fegatu //
54 drink	biy //
57 see	vE*nd //
58 hear	sE*nt //
61 die	mor //
66 come	vE*n //
72 sun	soli //
74 star	Steda //
75 water	akwa //
77 stone	kota //
82 fire	fogu //
85 path	Strada //
86 mountain	mu*nta*nTa //
92 night	noti //
100 name	no*mu //",IE,ROMANCE,4075,
"Indo-European,Italic,Romance,Italo-Dalmatian,Dalmatian","Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,Italo-Dalmatian,DalmatianRomance",IE.ROMANCE,dalm1243,dlm,,,Indo-European,Indo-European,DALMATIAN,{},42.71,False,18.02,,Dalmatian,0,4076,True,"DALMATIAN{IE.ROMANCE|Indo-European,Italic,Romance,Italo-Dalmatian,Dalmatian@Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,Italo-Dalmatian,DalmatianRomance}
 1   42.71   18.02          -1         dlm
1 I	yu //
2 you	tu, te, ti //
3 we	noi, noyiltri //
11 one	yoin //
12 two	dai //
18 person	om, yom //
19 fish	pias //
21 dog	kuoN //
22 louse	pedoklo //
23 tree	yarbur, yarber, yarbul //
25 leaf	fuaLa, fuaL //
28 skin	pial //
30 blood	suoNg //
31 bone	vuas //
34 horn	kuarN //
39 ear	rakla, orakla //
40 eye	vaklo //
41 nose	nuos //
43 tooth	diant //
44 tongue	laNga //
47 knee	Zinuak, Zinauk //
48 hand	muoN //
51 breast	piat, siaN //
53 liver	figuot //
54 drink	bar //
57 see	vedar //
58 hear	sentar //
61 die	morar //
66 come	venar //
72 sun	saul //
74 star	stala //
75 water	yakua //
77 stone	pitra //
82 fire	fuk //
85 path	kal //
86 mountain	muant //
92 night	nuat //
95 full	plain //
96 new	nuf, nuaf //
100 name	nam, nauN //",IE,ROMANCE,4076,
"Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Italian","Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,NorthwesternShiftedRomance,Gallo-Italian,Emiliano-Romagnolo",IE.ROMANCE,emil1241,egl,itb,,Indo-European,Indo-European,EMILIANO_CARPIGIANO,{},44.35,False,11.58,,Emiliano Carpigiano,3000000,4077,False,"EMILIANO_CARPIGIANO{IE.ROMANCE|Indo-European,Italic,Romance,Italo-Western,Western,Gallo-Iberian,Gallo-Romance,Gallo-Italian@Indo-European,Italic,Latino-Faliscan,Latinic,ImperialLatin,Romance,Italo-WesternRomance,WesternRomance,ShiftedWesternRomance,NorthwesternShiftedRomance,Gallo-Italian,Emiliano-Romagnolo}
 1   44.35   11.58     3000000   itb   egl
1 I	mE //
2 you	tE //
3 we	nuEter //
11 one	un //
12 two	du //
18 person	om //
19 fish	pEs //
21 dog	kaN //
22 louse	pyoC //
23 tree	elber //
25 leaf	foya //
28 skin	pEla //
30 blood	saNgev //
31 bone	os //
34 horn	koren //
39 ear	urECa //
40 eye	oC //
41 nose	nEz //
43 tooth	dEynt //
44 tongue	lENgva //
47 knee	znoC //
48 hand	maN //
51 breast	pEt //
53 liver	fedeg //
54 drink	bEvEr //
57 see	vEder //
58 hear	siNtir //
61 die	murir //
66 come	5ir //
72 sun	sol //
74 star	stEla //
75 water	akwa //
77 stone	jarown //
82 fire	fog //
85 path	strEda //
86 mountain	munta5a //
92 night	not //
95 full	pin //
96 new	nov //
100 name	nom //",IE,ROMANCE,4077,
