confidence,description,domainelement_pk,frequency,id,jsondata,loan,markup_description,name,pk,valueset_pk
,,,,ALBANIAN-1-1,{},False,,un3,173138,154881
,,,,ALBANIAN-2-1,{},False,,ju,173139,154882
,,,,ALBANIAN-3-1,{},False,,ne,173140,154883
,,,,ALBANIAN-11-1,{},False,,Ne,173141,154884
,,,,ALBANIAN-12-1,{},False,,di,173142,154885
,,,,ALBANIAN-18-1,{},False,,vet3,173143,154886
,,,,ALBANIAN-18-2,{},False,,person,173144,154886
,,,,ALBANIAN-18-3,{},False,,individ,173145,154886
,,,,ALBANIAN-19-1,{},False,,peSk,173146,154887
,,,,ALBANIAN-21-1,{},False,,Ten,173147,154888
,,,,ALBANIAN-22-1,{},False,,morr,173148,154889
,,,,ALBANIAN-23-1,{},False,,dru,173149,154890
,,,,ALBANIAN-23-2,{},False,,pem3,173150,154890
,,,,ALBANIAN-25-1,{},False,,Tethe,173151,154891
,,,,ALBANIAN-25-2,{},False,,flet3,173152,154891
,,,,ALBANIAN-25-3,{},False,,kanat,173153,154891
,,,,ALBANIAN-28-1,{},False,,l3kur3,173154,154892
,,,,ALBANIAN-28-2,{},False,,l3vore,173155,154892
,,,,ALBANIAN-30-1,{},False,,Tak,173156,154893
,,,,ALBANIAN-31-1,{},False,,aSt,173157,154894
,,,,ALBANIAN-31-2,{},False,,koc,173158,154894
,,,,ALBANIAN-31-3,{},False,,hal3,173159,154894
,,,,ALBANIAN-34-1,{},False,,bri,173160,154895
,,,,ALBANIAN-34-2,{},False,,bori,173161,154895
,,,,ALBANIAN-39-1,{},False,,veS,173162,154896
,,,,ALBANIAN-39-2,{},False,,d3Tim,173163,154896
,,,,ALBANIAN-39-3,{},False,,dorez3,173164,154896
,,,,ALBANIAN-39-4,{},False,,kalli,173165,154896
,,,,ALBANIAN-40-1,{},False,,si,173166,154897
,,,,ALBANIAN-40-2,{},False,,vrim3,173167,154897
,,,,ALBANIAN-40-3,{},False,,filiTe,173168,154897
,,,,ALBANIAN-40-4,{},False,,syth,173169,154897
,,,,ALBANIAN-40-5,{},False,,Sikim,173170,154897
,,,,ALBANIAN-41-1,{},False,,hund3,173171,154898
,,,,ALBANIAN-41-2,{},False,,nuhatye,173172,154898
,,,,ALBANIAN-43-1,{},False,,8Emb,173173,154899
,,,,ALBANIAN-43-2,{},False,,8Emb3z,173174,154899
,,,,ALBANIAN-44-1,{},False,,Tuh3,173175,154900
,,,,ALBANIAN-44-2,{},False,,t3 folurit,173176,154900
,,,,ALBANIAN-47-1,{},False,,Tu,173177,154901
,,,,ALBANIAN-48-1,{},False,,dor3,173178,154902
,,,,ALBANIAN-48-2,{},False,,pun3tor,173179,154902
,,,,ALBANIAN-48-3,{},False,,akrep,173180,154902
,,,,ALBANIAN-48-4,{},False,,pyes3marrye,173181,154902
,,,,ALBANIAN-51-1,{},False,,kraharor,173182,154903
,,,,ALBANIAN-51-2,{},False,,Ti,173183,154903
,,,,ALBANIAN-53-1,{},False,,m3lCi,173184,154904
,,,,ALBANIAN-54-1,{},False,,pirye,173185,154905
,,,,ALBANIAN-54-2,{},False,,got3,173186,154905
,,,,ALBANIAN-57-1,{},False,,Soh,173187,154906
,,,,ALBANIAN-57-2,{},False,,Sikoy,173188,154906
,,,,ALBANIAN-57-3,{},False,,v3 re,173189,154906
,,,,ALBANIAN-57-4,{},False,,STuay,173190,154906
,,,,ALBANIAN-57-5,{},False,,kuydesem,173191,154906
,,,,ALBANIAN-57-6,{},False,,kuptoj,173192,154906
,,,,ALBANIAN-58-1,{},False,,d3gyoy,173193,154907
,,,,ALBANIAN-58-2,{},False,,m3soy,173194,154907
,,,,ALBANIAN-58-3,{},False,,marr veS,173195,154907
,,,,ALBANIAN-58-4,{},False,,marr layme,173196,154907
,,,,ALBANIAN-58-5,{},False,,letra,173197,154907
,,,,ALBANIAN-61-1,{},False,,vdes,173198,154908
,,,,ALBANIAN-61-2,{},False,,Nordh,173199,154908
,,,,ALBANIAN-61-3,{},False,,viSk,173200,154908
,,,,ALBANIAN-61-4,{},False,,Suay,173201,154908
,,,,ALBANIAN-66-1,{},False,,viy,173202,154909
,,,,ALBANIAN-72-1,{},False,,dyell,173203,154910
,,,,ALBANIAN-74-1,{},False,,ill,173204,154911
,,,,ALBANIAN-75-1,{},False,,uj3,173205,154912
,,,,ALBANIAN-77-1,{},False,,gur,173206,154913
,,,,ALBANIAN-82-1,{},False,,ndez,173207,154914
,,,,ALBANIAN-82-2,{},False,,dyeg,173208,154914
,,,,ALBANIAN-82-3,{},False,,Stie,173209,154914
,,,,ALBANIAN-82-4,{},False,,T3lloy,173210,154914
,,,,ALBANIAN-85-1,{},False,,Steg,173211,154915
,,,,ALBANIAN-85-2,{},False,,rrug3,173212,154915
,,,,ALBANIAN-86-1,{},False,,mal,173213,154916
,,,,ALBANIAN-92-1,{},False,,nat3,173214,154917
,,,,ALBANIAN-95-1,{},False,,e mbuSur plot me,173215,154918
,,,,ALBANIAN-95-2,{},False,,i mbuSur plot me,173216,154918
,,,,ALBANIAN-95-3,{},False,,i plot3,173217,154918
,,,,ALBANIAN-95-4,{},False,,e plot3,173218,154918
,,,,ALBANIAN-95-5,{},False,,plot3siSt,173219,154918
,,,,ALBANIAN-95-6,{},False,,t3r3siSt,173220,154918
,,,,ALBANIAN-95-7,{},False,,plot,173221,154918
,,,,ALBANIAN-96-1,{},False,,i ri,173222,154919
,,,,ALBANIAN-96-2,{},False,,e re,173223,154919
,,,,ALBANIAN-96-3,{},False,,i fresk3t,173224,154919
,,,,ALBANIAN-96-4,{},False,,e fresk3t,173225,154919
,,,,ALBANIAN-100-1,{},False,,em3r,173226,154920
,,,,ALBANIAN-100-2,{},False,,nam,173227,154920
,,,,ALBANIAN-100-3,{},False,,fam3,173228,154920
