confidence,description,domainelement_pk,frequency,id,jsondata,loan,markup_description,name,pk,valueset_pk
,,,,ENGLISH-1-1,{},False,,Ei,175532,156937
,,,,ENGLISH-2-1,{},False,,yu,175533,156938
,,,,ENGLISH-3-1,{},False,,wi,175534,156939
,,,,ENGLISH-4-1,{},False,,8is,175535,156940
,,,,ENGLISH-5-1,{},False,,8Et,175536,156941
,,,,ENGLISH-6-1,{},False,,hu,175537,156942
,,,,ENGLISH-7-1,{},False,,wh~at,175538,156943
,,,,ENGLISH-8-1,{},False,,nat,175539,156944
,,,,ENGLISH-9-1,{},False,,ol,175540,156945
,,,,ENGLISH-10-1,{},False,,mini,175541,156946
,,,,ENGLISH-11-1,{},False,,w3n,175542,156947
,,,,ENGLISH-12-1,{},False,,tu,175543,156948
,,,,ENGLISH-13-1,{},False,,big,175544,156949
,,,,ENGLISH-14-1,{},False,,loN,175545,156950
,,,,ENGLISH-15-1,{},False,,smal,175546,156951
,,,,ENGLISH-15-2,{},False,,litl,175547,156951
,,,,ENGLISH-16-1,{},False,,wum3n,175548,156952
,,,,ENGLISH-17-1,{},False,,mEn,175549,156953
,,,,ENGLISH-18-1,{},True,,prs3n,175550,156954
,,,,ENGLISH-19-1,{},False,,fiS,175551,156955
,,,,ENGLISH-20-1,{},False,,b3rd,175552,156956
,,,,ENGLISH-21-1,{},False,,dag,175553,156957
,,,,ENGLISH-22-1,{},False,,laus,175554,156958
,,,,ENGLISH-23-1,{},False,,tri,175555,156959
,,,,ENGLISH-24-1,{},False,,sid,175556,156960
,,,,ENGLISH-25-1,{},False,,lif,175557,156961
,,,,ENGLISH-26-1,{},False,,rut,175558,156962
,,,,ENGLISH-27-1,{},True,,bark,175559,156963
,,,,ENGLISH-28-1,{},True,,skin,175560,156964
,,,,ENGLISH-29-1,{},False,,flES,175561,156965
,,,,ENGLISH-29-2,{},False,,mit,175562,156965
,,,,ENGLISH-30-1,{},False,,bl3d,175563,156966
,,,,ENGLISH-31-1,{},False,,bon,175564,156967
,,,,ENGLISH-32-1,{},True,,gris,175565,156968
,,,,ENGLISH-33-1,{},True,,eg,175566,156969
,,,,ENGLISH-34-1,{},False,,horn,175567,156970
,,,,ENGLISH-35-1,{},False,,tel,175568,156971
,,,,ENGLISH-36-1,{},False,,fE8r,175569,156972
,,,,ENGLISH-37-1,{},False,,hEr,175570,156973
,,,,ENGLISH-38-1,{},False,,hEd,175571,156974
,,,,ENGLISH-39-1,{},False,,ir,175572,156975
,,,,ENGLISH-40-1,{},False,,Ei,175573,156976
,,,,ENGLISH-41-1,{},False,,noz,175574,156977
,,,,ENGLISH-42-1,{},False,,mau8,175575,156978
,,,,ENGLISH-43-1,{},False,,tu8,175576,156979
,,,,ENGLISH-44-1,{},False,,t3N,175577,156980
,,,,ENGLISH-45-1,{},False,,klo,175578,156981
,,,,ENGLISH-46-1,{},False,,fut,175579,156982
,,,,ENGLISH-47-1,{},False,,ni,175580,156983
,,,,ENGLISH-48-1,{},False,,hEnd,175581,156984
,,,,ENGLISH-49-1,{},False,,bEli,175582,156985
,,,,ENGLISH-50-1,{},False,,nEk,175583,156986
,,,,ENGLISH-51-1,{},False,,brEst,175584,156987
,,,,ENGLISH-52-1,{},False,,hart,175585,156988
,,,,ENGLISH-53-1,{},False,,liv3r,175586,156989
,,,,ENGLISH-54-1,{},False,,driNk,175587,156990
,,,,ENGLISH-55-1,{},False,,it,175588,156991
,,,,ENGLISH-56-1,{},False,,bEit,175589,156992
,,,,ENGLISH-57-1,{},False,,si,175590,156993
,,,,ENGLISH-58-1,{},False,,hir,175591,156994
,,,,ENGLISH-59-1,{},False,,no,175592,156995
,,,,ENGLISH-60-1,{},False,,slip,175593,156996
,,,,ENGLISH-61-1,{},False,,dEi,175594,156997
,,,,ENGLISH-62-1,{},False,,kil,175595,156998
,,,,ENGLISH-63-1,{},False,,swim,175596,156999
,,,,ENGLISH-64-1,{},False,,flEi,175597,157000
,,,,ENGLISH-65-1,{},False,,wok,175598,157001
,,,,ENGLISH-66-1,{},False,,k3m,175599,157002
,,,,ENGLISH-67-1,{},False,,lEi,175600,157003
,,,,ENGLISH-68-1,{},False,,sit,175601,157004
,,,,ENGLISH-69-1,{},False,,stEnd,175602,157005
,,,,ENGLISH-70-1,{},True,,giv,175603,157006
,,,,ENGLISH-71-1,{},False,,sei,175604,157007
