id,name
ENGLISH-1-1,Ei
ENGLISH-2-1,yu
ENGLISH-3-1,wi
ENGLISH-4-1,8is
ENGLISH-5-1,8Et
ENGLISH-6-1,hu
ENGLISH-7-1,wh~at
ENGLISH-8-1,nat
ENGLISH-9-1,ol
ENGLISH-10-1,mini
ENGLISH-11-1,w3n
ENGLISH-12-1,tu
ENGLISH-13-1,big
ENGLISH-14-1,loN
ENGLISH-15-1,smal
ENGLISH-15-2,litl
ENGLISH-16-1,wum3n
ENGLISH-17-1,mEn
ENGLISH-18-1,prs3n
ENGLISH-19-1,fiS
ENGLISH-20-1,b3rd
ENGLISH-21-1,dag
ENGLISH-22-1,laus
ENGLISH-23-1,tri
ENGLISH-24-1,sid
ENGLISH-25-1,lif
ENGLISH-26-1,rut
ENGLISH-27-1,bark
ENGLISH-28-1,skin
ENGLISH-29-1,flES
ENGLISH-29-2,mit
ENGLISH-30-1,bl3d
ENGLISH-31-1,bon
ENGLISH-32-1,gris
ENGLISH-33-1,eg
ENGLISH-34-1,horn
ENGLISH-35-1,tel
ENGLISH-36-1,fE8r
ENGLISH-37-1,hEr
ENGLISH-38-1,hEd
ENGLISH-39-1,ir
ENGLISH-40-1,Ei
ENGLISH-41-1,noz
ENGLISH-42-1,mau8
ENGLISH-43-1,tu8
ENGLISH-44-1,t3N
ENGLISH-45-1,klo
ENGLISH-46-1,fut
ENGLISH-47-1,ni
ENGLISH-48-1,hEnd
ENGLISH-49-1,bEli
ENGLISH-50-1,nEk
ENGLISH-51-1,brEst
ENGLISH-52-1,hart
ENGLISH-53-1,liv3r
ENGLISH-54-1,driNk
ENGLISH-55-1,it
ENGLISH-56-1,bEit
ENGLISH-57-1,si
ENGLISH-58-1,hir
ENGLISH-59-1,no
ENGLISH-60-1,slip
ENGLISH-61-1,dEi
ENGLISH-62-1,kil
ENGLISH-63-1,swim
ENGLISH-64-1,flEi
ENGLISH-65-1,wok
ENGLISH-66-1,k3m
ENGLISH-67-1,lEi
ENGLISH-68-1,sit
ENGLISH-69-1,stEnd
ENGLISH-70-1,giv
ENGLISH-71-1,sei
ENGLISH-72-1,s3n
ENGLISH-73-1,mun
ENGLISH-74-1,star
ENGLISH-75-1,wat3r
ENGLISH-76-1,rein
ENGLISH-77-1,ston
ENGLISH-78-1,sEnd
ENGLISH-79-1,3r8
ENGLISH-80-1,klaud
ENGLISH-81-1,smok
ENGLISH-82-1,fEir
ENGLISH-83-1,ES
ENGLISH-84-1,b3rn
ENGLISH-85-1,pE8
ENGLISH-86-1,maunt3n
ENGLISH-87-1,rEd
ENGLISH-88-1,grin
ENGLISH-89-1,yElo
ENGLISH-90-1,wh~Eit
ENGLISH-91-1,blEk
ENGLISH-92-1,nEit
ENGLISH-93-1,hat
ENGLISH-94-1,kold
ENGLISH-95-1,ful
ENGLISH-96-1,nu
ENGLISH-97-1,gud
ENGLISH-98-1,rawnd
ENGLISH-99-1,drEi
ENGLISH-100-1,nem
STANDARD_GERMAN-1-1,ix
STANDARD_GERMAN-2-1,du
STANDARD_GERMAN-3-1,vir
STANDARD_GERMAN-11-1,ains
STANDARD_GERMAN-12-1,cvai
STANDARD_GERMAN-18-1,mEnS
STANDARD_GERMAN-19-1,fiS
STANDARD_GERMAN-21-1,hunt
STANDARD_GERMAN-22-1,laus
STANDARD_GERMAN-23-1,baum
STANDARD_GERMAN-25-1,blat
STANDARD_GERMAN-28-1,haut
STANDARD_GERMAN-30-1,blut
STANDARD_GERMAN-31-1,knoX3n
STANDARD_GERMAN-34-1,horn
STANDARD_GERMAN-39-1,or
STANDARD_GERMAN-40-1,aug3
STANDARD_GERMAN-41-1,naz3
STANDARD_GERMAN-43-1,ch~an
STANDARD_GERMAN-44-1,ch~uN3
STANDARD_GERMAN-47-1,kni
STANDARD_GERMAN-48-1,hant
STANDARD_GERMAN-51-1,brust
STANDARD_GERMAN-53-1,leb3r
STANDARD_GERMAN-54-1,triNk3n
STANDARD_GERMAN-57-1,ze3n
STANDARD_GERMAN-58-1,her3n
STANDARD_GERMAN-61-1,Sterb3n
STANDARD_GERMAN-66-1,kh~om3n
STANDARD_GERMAN-72-1,zon3
STANDARD_GERMAN-74-1,StErn
STANDARD_GERMAN-75-1,vas3r
STANDARD_GERMAN-77-1,Stain
STANDARD_GERMAN-82-1,foia
STANDARD_GERMAN-85-1,pf~at
STANDARD_GERMAN-85-2,vek
STANDARD_GERMAN-86-1,bErk
STANDARD_GERMAN-92-1,naXt
STANDARD_GERMAN-95-1,fol
STANDARD_GERMAN-96-1,noi
STANDARD_GERMAN-100-1,nam3
