confidence,description,domainelement_pk,frequency,id,jsondata,loan,markup_description,name,pk,valueset_pk
,,,,STANDARD_GERMAN-1-1,{},False,,ix,177223,158454
,,,,STANDARD_GERMAN-2-1,{},False,,du,177224,158455
,,,,STANDARD_GERMAN-3-1,{},False,,vir,177225,158456
,,,,STANDARD_GERMAN-11-1,{},False,,ains,177226,158457
,,,,STANDARD_GERMAN-12-1,{},False,,cvai,177227,158458
,,,,STANDARD_GERMAN-18-1,{},False,,mEnS,177228,158459
,,,,STANDARD_GERMAN-19-1,{},False,,fiS,177229,158460
,,,,STANDARD_GERMAN-21-1,{},False,,hunt,177230,158461
,,,,STANDARD_GERMAN-22-1,{},False,,laus,177231,158462
,,,,STANDARD_GERMAN-23-1,{},False,,baum,177232,158463
,,,,STANDARD_GERMAN-25-1,{},False,,blat,177233,158464
,,,,STANDARD_GERMAN-28-1,{},False,,haut,177234,158465
,,,,STANDARD_GERMAN-30-1,{},False,,blut,177235,158466
,,,,STANDARD_GERMAN-31-1,{},False,,knoX3n,177236,158467
,,,,STANDARD_GERMAN-34-1,{},False,,horn,177237,158468
,,,,STANDARD_GERMAN-39-1,{},False,,or,177238,158469
,,,,STANDARD_GERMAN-40-1,{},False,,aug3,177239,158470
,,,,STANDARD_GERMAN-41-1,{},False,,naz3,177240,158471
,,,,STANDARD_GERMAN-43-1,{},False,,ch~an,177241,158472
,,,,STANDARD_GERMAN-44-1,{},False,,ch~uN3,177242,158473
,,,,STANDARD_GERMAN-47-1,{},False,,kni,177243,158474
,,,,STANDARD_GERMAN-48-1,{},False,,hant,177244,158475
,,,,STANDARD_GERMAN-51-1,{},False,,brust,177245,158476
,,,,STANDARD_GERMAN-53-1,{},False,,leb3r,177246,158477
,,,,STANDARD_GERMAN-54-1,{},False,,triNk3n,177247,158478
,,,,STANDARD_GERMAN-57-1,{},False,,ze3n,177248,158479
,,,,STANDARD_GERMAN-58-1,{},False,,her3n,177249,158480
,,,,STANDARD_GERMAN-61-1,{},False,,Sterb3n,177250,158481
,,,,STANDARD_GERMAN-66-1,{},False,,kh~om3n,177251,158482
,,,,STANDARD_GERMAN-72-1,{},False,,zon3,177252,158483
,,,,STANDARD_GERMAN-74-1,{},False,,StErn,177253,158484
,,,,STANDARD_GERMAN-75-1,{},False,,vas3r,177254,158485
,,,,STANDARD_GERMAN-77-1,{},False,,Stain,177255,158486
,,,,STANDARD_GERMAN-82-1,{},False,,foia,177256,158487
,,,,STANDARD_GERMAN-85-1,{},False,,pf~at,177257,158488
,,,,STANDARD_GERMAN-85-2,{},False,,vek,177258,158488
,,,,STANDARD_GERMAN-86-1,{},False,,bErk,177259,158489
,,,,STANDARD_GERMAN-92-1,{},False,,naXt,177260,158490
,,,,STANDARD_GERMAN-95-1,{},False,,fol,177261,158491
,,,,STANDARD_GERMAN-96-1,{},False,,noi,177262,158492
,,,,STANDARD_GERMAN-100-1,{},False,,nam3,177263,158493
