confidence,description,domainelement_pk,frequency,id,jsondata,loan,markup_description,name,pk,valueset_pk
,,,,STANDARD_GERMAN_2-1-1,{},False,,iS,177264,158494
,,,,STANDARD_GERMAN_2-2-1,{},False,,du,177265,158495
,,,,STANDARD_GERMAN_2-3-1,{},False,,via,177266,158496
,,,,STANDARD_GERMAN_2-4-1,{},False,,dis,177267,158497
,,,,STANDARD_GERMAN_2-5-1,{},False,,das,177268,158498
,,,,STANDARD_GERMAN_2-6-1,{},False,,fea,177269,158499
,,,,STANDARD_GERMAN_2-7-1,{},False,,vas,177270,158500
,,,,STANDARD_GERMAN_2-8-1,{},False,,niSt,177271,158501
,,,,STANDARD_GERMAN_2-9-1,{},False,,ales,177272,158502
,,,,STANDARD_GERMAN_2-11-1,{},False,,ains,177273,158503
,,,,STANDARD_GERMAN_2-12-1,{},False,,cvai,177274,158504
,,,,STANDARD_GERMAN_2-13-1,{},False,,gXos,177275,158505
,,,,STANDARD_GERMAN_2-14-1,{},False,,laN,177276,158506
,,,,STANDARD_GERMAN_2-15-1,{},False,,klain,177277,158507
,,,,STANDARD_GERMAN_2-16-1,{},False,,fXau,177278,158508
,,,,STANDARD_GERMAN_2-17-1,{},False,,man,177279,158509
,,,,STANDARD_GERMAN_2-18-1,{},False,,mEnS,177280,158510
,,,,STANDARD_GERMAN_2-19-1,{},False,,fiS,177281,158511
,,,,STANDARD_GERMAN_2-20-1,{},False,,fog3l,177282,158512
,,,,STANDARD_GERMAN_2-21-1,{},False,,hunt,177283,158513
,,,,STANDARD_GERMAN_2-22-1,{},False,,laus,177284,158514
,,,,STANDARD_GERMAN_2-23-1,{},False,,baum,177285,158515
,,,,STANDARD_GERMAN_2-24-1,{},False,,zat,177286,158516
,,,,STANDARD_GERMAN_2-25-1,{},False,,blat,177287,158517
,,,,STANDARD_GERMAN_2-26-1,{},False,,vuac3l,177288,158518
,,,,STANDARD_GERMAN_2-27-1,{},False,,Xind3,177289,158519
,,,,STANDARD_GERMAN_2-28-1,{},False,,haut,177290,158520
,,,,STANDARD_GERMAN_2-29-1,{},False,,flaiS,177291,158521
,,,,STANDARD_GERMAN_2-30-1,{},False,,blut,177292,158522
,,,,STANDARD_GERMAN_2-31-1,{},False,,knoX3n,177293,158523
,,,,STANDARD_GERMAN_2-32-1,{},False,,fEt,177294,158524
,,,,STANDARD_GERMAN_2-33-1,{},False,,ai,177295,158525
