english,west_frisian
I,ik
you,do
you,dû
you,jo
he,hy,
he,er
we,wy
you,jimme
they,sy,
they,hja
this,dit
this,dizze
that,dat
here,hjir
there,dêr
who,wa
what,wat
where,wêr
when,wannear,
when,hoenear
how,hoe
not,net
all,alle,
all,allegear
many,gâns,
some,wat,
some,guon
some,sommige
few,in pear,
few,inkele
other,oar
one,ien
two,twa
three,trije
four,fjouwer
five,fiif
big,grut
long,lang
wide,wiid, breed
thick,dik, tsjok
heavy,swier
small,lyts
short,koart
narrow,nau, ing, smel
thin,tin
woman,frou
woman,frommes
man,man
man,minske
child,bern
wife,frou
wife,wiif
husband,man
mother,mem
father,heit
animal,bist
fish,fisk
bird,fûgel
dog,hûn
louse,lús
snake,slange
worm,wjirm
tree,beam
forest,wâld
forest,bosk
stick,stok
stick,stôk
fruit,fruit
fruit,frucht
seed,sied
leaf,blêd
leaf,loaf
root,woartel
bark,bast
flower,blom
grass,gers
rope,tou
skin,hûd
meat,fleis
blood,bloed
bone,bonke
fat,fet
egg,aai
horn,hoarn
tail,sturt
feather,fear
hair,hier
head,holle
ear,ear
eye,each
nose,noas
mouth,mûle
tooth,tosk
tongue,tonge
fingernail,neille
foot,foet
leg,skonk
knee,knibbel
hand,hân
wing,wjuk
belly,búk
guts,termen
neck,nekke
back,rêch
breast,boarst
heart,hert
liver,lever
drink,drinke
eat ,ite
bite ,bite
suck ,sûge
spit ,spuie
vomit ,oerjaan, kotse
blow ,blaze
breathe ,sykhelje, asemje
laugh ,laitsje
see ,sjen
hear ,hearre
know ,witte, kenne
think ,tinke
smell ,rûke
fear ,bang wêze
sleep ,sliepe
live ,libje
die ,stjerre,
kill ,fermoardzje
fight ,fjochtsje
hunt ,jeie
hit ,slaan, reitsje
cut ,snije
split ,splite
stab ,stekke
scratch ,skraabje
dig ,grave
swim ,swimme
fly ,fleane
walk ,rinne
come ,komme
lie,lizze
sit ,sitte
stand ,stean
turn,draaie
fall ,falle
give ,jaan
hold ,hâlde
squeeze ,knipe
rub ,wriuwe
wash ,waskje
wipe ,feie
pull ,lûke
push ,triuwe
throw ,goaie, smite
tie ,fêstbine
sew ,naaie
count ,telle
say ,sizze
sing ,sjonge
play ,boartsje,
play,spylje
float ,driuwe
flow ,floeie
freeze ,frieze
swell ,swolgje
sun,sinne
moon,moanne
star,stjer
water,wetter
rain,rein
river,rivier
lake,mar
sea,see
salt,sâlt
stone,stien
sand,sân
dust,stof
earth,ierde
cloud,wolk
fog,dize
sky,loft, himel
wind,wyn
snow,snie
ice,iis
smoke,reek
fire,fjoer
ash,jiske
burn,baarne,
burn,brâne
road,dyk, wei
mountain,berch
red,read
green,grien
yellow,giel
white,wyt
black,swart
night,nacht
day,dei
year,jier
warm,waarm
cold,kâld
full,fol
new,nij
old,âld
good,goed
bad,min
rotten,ferrotte
dirty,smoarch
straight,rjocht
round,rûn
sharp,skerp
dull,bot
dull,stomp
smooth,flak, glêd
wet,wiet
dry,droech
correct,krek, korrekt
near,tichtby
far,fier
right,rjochts
left,links, lofts
at,by, aon
in,yn
with,mei
and,en
if,as
because,omdat
name,namme
